id_regions	code_country	date	hour_band	call_out_activity
1	48	2013-12-01/07:00:00	7	2.9771
1	48	2013-12-01/08:00:00	8	8.3402
1	48	2013-12-01/09:00:00	9	3.3899
1	48	2013-12-01/10:00:00	10	2.1370
1	48	2013-12-01/11:10:00	11	1.8103
1	48	2013-12-01/12:00:00	12	2.5960
1	48	2013-12-01/13:10:00	13	1.4004
1	48	2013-12-01/14:00:00	14	8.0189
1	48	2013-12-01/15:00:00	15	3.2028
1	48	2013-12-01/16:20:00	16	0.4687
1	48	2013-12-01/17:10:00	17	0.0358
1	49	2013-11-30/18:10:00	18	0.1164
1	49	2013-11-30/20:50:00	20	0.0467
1	49	2013-11-30/22:10:00	22	0.0935
1	49	2013-12-01/01:40:00	1	0.0236
1	49	2013-12-01/02:30:00	2	1.7245
1	49	2013-12-01/03:00:00	3	2.8534
1	49	2013-12-01/04:00:00	4	2.2934
1	49	2013-12-01/05:00:00	5	2.8153
1	49	2013-12-01/06:00:00	6	1.0156
1	49	2013-12-01/07:10:00	7	1.4495
1	49	2013-12-01/08:00:00	8	3.7589
1	49	2013-12-01/09:10:00	9	1.5826
1	49	2013-12-01/10:00:00	10	4.1209
1	49	2013-12-01/11:00:00	11	4.7752
1	49	2013-12-01/12:00:00	12	2.7411
1	49	2013-12-01/13:00:00	13	4.5509
1	49	2013-12-01/14:00:00	14	3.3924
1	49	2013-12-01/15:00:00	15	3.5918
1	49	2013-12-01/16:10:00	16	1.9780
1	51	2013-11-30/20:00:00	20	0.4879
1	51	2013-11-30/21:10:00	21	1.2249
1	51	2013-11-30/23:00:00	23	0.2261
1	51	2013-12-01/05:00:00	5	1.3421
1	51	2013-12-01/08:20:00	8	0.0451
1	51	2013-12-01/10:40:00	10	0.0881
1	51	2013-12-01/11:30:00	11	0.0881
1	51	2013-12-01/15:30:00	15	1.2305
1	51	2013-12-01/16:30:00	16	0.1391
1	51	2013-12-01/17:00:00	17	0.1762
1	53	2013-12-01/08:30:00	8	0.6875
1	53	2013-12-01/14:10:00	14	0.4056
1	53	2013-12-01/17:20:00	17	0.5313
1	54	2013-12-01/14:30:00	14	0.0309
1	55	2013-11-30/19:10:00	19	1.1904
1	55	2013-12-01/06:40:00	6	0.1312
1	55	2013-12-01/09:50:00	9	1.1904
1	55	2013-12-01/11:00:00	11	1.6780
1	55	2013-12-01/13:40:00	13	2.0736
1	55	2013-12-01/14:00:00	14	0.0797
1	55	2013-12-01/15:30:00	15	0.3427
1	55	2013-12-01/16:00:00	16	1.6732
1	57	2013-12-01/12:50:00	12	0.0239
1	57	2013-12-01/13:50:00	13	1.1233
1	57	2013-12-01/14:10:00	14	0.4926
1	58	2013-12-01/17:30:00	17	1.1233
1	61	2013-12-01/05:30:00	5	2.7573
1	61	2013-12-01/08:40:00	8	1.5055
1	63	2013-12-01/01:10:00	1	0.1141
1	63	2013-12-01/03:30:00	3	0.0853
1	63	2013-12-01/05:00:00	5	0.0518
1	63	2013-12-01/08:00:00	8	0.3260
1	66	2013-11-30/20:30:00	20	0.0299
1	66	2013-12-01/02:50:00	2	0.0881
1	66	2013-12-01/04:00:00	4	0.6104
1	66	2013-12-01/06:50:00	6	0.2151
1	66	2013-12-01/07:50:00	7	0.0714
1	66	2013-12-01/11:50:00	11	0.0714
1	66	2013-12-01/14:50:00	14	0.5053
1	86	2013-11-30/18:20:00	18	0.0540
1	86	2013-12-01/02:40:00	2	0.3936
1	86	2013-12-01/03:00:00	3	1.0779
1	86	2013-12-01/04:40:00	4	1.2783
1	86	2013-12-01/05:00:00	5	2.5750
1	86	2013-12-01/06:10:00	6	0.7383
1	86	2013-12-01/07:50:00	7	0.0105
1	86	2013-12-01/08:00:00	8	1.7972
1	86	2013-12-01/10:40:00	10	0.0567
1	86	2013-12-01/11:50:00	11	0.0329
1	86	2013-12-01/12:40:00	12	0.0567
1	91	2013-11-30/18:10:00	18	0.0215
1	91	2013-12-01/04:30:00	4	1.2843
1	91	2013-12-01/05:00:00	5	2.6528
1	91	2013-12-01/06:20:00	6	2.2982
1	91	2013-12-01/07:00:00	7	2.0678
1	91	2013-12-01/08:00:00	8	4.0736
1	91	2013-12-01/09:20:00	9	4.6315
1	91	2013-12-01/10:10:00	10	0.8780
1	91	2013-12-01/11:00:00	11	0.7639
1	91	2013-12-01/12:20:00	12	0.0518
1	91	2013-12-01/13:40:00	13	0.0215
1	91	2013-12-01/14:00:00	14	0.1060
1	91	2013-12-01/15:30:00	15	1.1702
1	91	2013-12-01/16:00:00	16	0.5598
1	92	2013-12-01/01:20:00	1	0.0566
1	92	2013-12-01/02:00:00	2	0.0518
1	92	2013-12-01/03:00:00	3	1.7249
1	92	2013-12-01/04:10:00	4	7.8946
1	92	2013-12-01/05:00:00	5	6.2647
1	92	2013-12-01/06:50:00	6	1.2109
1	92	2013-12-01/07:00:00	7	0.3403
1	92	2013-12-01/08:00:00	8	2.1304
1	92	2013-12-01/09:00:00	9	5.3232
1	92	2013-12-01/10:00:00	10	2.6112
1	92	2013-12-01/11:00:00	11	1.7113
1	92	2013-12-01/12:30:00	12	0.2588
1	92	2013-12-01/15:50:00	15	0.0558
1	94	2013-11-30/21:10:00	21	0.1662
1	94	2013-11-30/22:20:00	22	0.1662
1	94	2013-11-30/23:10:00	23	0.3324
1	94	2013-12-01/01:50:00	1	0.1662
1	94	2013-12-01/04:50:00	4	0.0107
1	94	2013-12-01/05:00:00	5	0.1768
1	94	2013-12-01/06:40:00	6	0.4320
1	94	2013-12-01/07:50:00	7	0.0053
1	94	2013-12-01/08:40:00	8	0.1662
1	94	2013-12-01/09:00:00	9	0.4986
1	94	2013-12-01/10:20:00	10	1.1398
1	94	2013-12-01/11:30:00	11	0.6649
1	94	2013-12-01/14:40:00	14	1.5490
1	94	2013-12-01/17:30:00	17	0.3326
1	98	2013-12-01/13:50:00	13	0.4056
1	212	2013-11-30/18:50:00	18	0.6770
1	212	2013-11-30/21:10:00	21	0.0168
1	212	2013-12-01/04:00:00	4	2.5254
1	212	2013-12-01/05:00:00	5	7.2115
1	212	2013-12-01/06:00:00	6	13.4367
1	212	2013-12-01/07:00:00	7	4.5466
1	212	2013-12-01/08:00:00	8	4.7271
1	212	2013-12-01/09:10:00	9	7.6849
1	212	2013-12-01/10:30:00	10	0.5446
1	212	2013-12-01/11:10:00	11	4.2910
1	212	2013-12-01/12:00:00	12	7.6372
1	212	2013-12-01/13:00:00	13	2.1413
1	212	2013-12-01/14:30:00	14	0.5321
1	212	2013-12-01/15:00:00	15	5.1261
1	212	2013-12-01/16:10:00	16	5.1163
1	212	2013-12-01/17:00:00	17	3.4150
1	213	2013-12-01/06:50:00	6	1.1654
1	213	2013-12-01/13:40:00	13	1.1654
1	216	2013-12-01/04:30:00	4	0.3427
1	216	2013-12-01/05:00:00	5	2.8203
1	216	2013-12-01/06:30:00	6	2.0335
1	216	2013-12-01/10:00:00	10	2.1595
1	216	2013-12-01/11:50:00	11	0.7497
1	216	2013-12-01/12:10:00	12	1.4372
1	216	2013-12-01/13:20:00	13	1.7354
1	221	2013-11-30/18:10:00	18	0.8508
1	221	2013-12-01/03:30:00	3	0.2070
1	221	2013-12-01/04:10:00	4	0.6207
1	221	2013-12-01/05:30:00	5	1.3669
1	221	2013-12-01/06:00:00	6	1.2495
1	221	2013-12-01/07:00:00	7	0.2923
1	221	2013-12-01/08:00:00	8	1.1137
1	221	2013-12-01/09:00:00	9	0.4567
1	221	2013-12-01/10:10:00	10	1.0322
1	221	2013-12-01/11:30:00	11	1.0886
1	221	2013-12-01/12:10:00	12	0.9294
1	221	2013-12-01/13:30:00	13	1.2972
1	221	2013-12-01/14:10:00	14	3.9984
1	221	2013-12-01/15:00:00	15	5.4168
1	221	2013-12-01/16:10:00	16	4.4844
1	221	2013-12-01/17:00:00	17	0.0853
1	226	2013-12-01/02:40:00	2	1.0585
1	226	2013-12-01/04:20:00	4	0.6794
1	226	2013-12-01/05:50:00	5	0.0659
1	226	2013-12-01/08:00:00	8	0.0604
1	226	2013-12-01/11:20:00	11	0.0329
1	233	2013-11-30/22:50:00	22	0.1446
1	233	2013-11-30/23:10:00	23	0.1446
1	233	2013-12-01/01:40:00	1	0.3516
1	233	2013-12-01/04:00:00	4	0.1446
1	233	2013-12-01/07:50:00	7	0.0402
1	233	2013-12-01/09:30:00	9	0.1446
1	233	2013-12-01/13:20:00	13	0.1680
1	233	2013-12-01/14:40:00	14	0.8555
1	233	2013-12-01/15:00:00	15	1.7303
1	233	2013-12-01/17:50:00	17	0.0234
1	234	2013-12-01/03:10:00	3	0.8212
1	234	2013-12-01/05:10:00	5	0.9608
1	234	2013-12-01/07:20:00	7	1.3384
1	234	2013-12-01/08:00:00	8	0.2142
1	234	2013-12-01/12:00:00	12	1.1170
1	234	2013-12-01/13:00:00	13	0.0714
1	234	2013-12-01/14:50:00	14	0.8212
1	234	2013-12-01/15:20:00	15	1.0322
1	234	2013-12-01/16:40:00	16	0.0714
1	248	2013-12-01/04:10:00	4	0.7371
1	351	2013-11-30/18:10:00	18	1.4010
1	352	2013-12-01/07:30:00	7	0.5188
1	353	2013-12-01/12:10:00	12	0.3427
1	353	2013-12-01/13:30:00	13	0.2975
1	355	2013-12-01/02:00:00	2	0.9170
1	355	2013-12-01/03:00:00	3	3.1134
1	355	2013-12-01/04:10:00	4	11.1590
1	355	2013-12-01/05:00:00	5	4.8851
1	355	2013-12-01/06:00:00	6	4.3164
1	355	2013-12-01/07:10:00	7	2.6100
1	355	2013-12-01/08:00:00	8	2.8436
1	355	2013-12-01/09:00:00	9	1.6009
1	355	2013-12-01/11:00:00	11	5.5234
1	355	2013-12-01/12:00:00	12	3.2276
1	355	2013-12-01/13:00:00	13	11.5866
1	355	2013-12-01/14:00:00	14	2.6816
1	355	2013-12-01/15:40:00	15	4.1143
1	355	2013-12-01/16:00:00	16	3.2777
1	356	2013-12-01/11:10:00	11	0.9417
1	357	2013-12-01/04:50:00	4	0.6875
1	357	2013-12-01/05:20:00	5	1.3750
1	358	2013-12-01/02:30:00	2	0.0458
1	358	2013-12-01/06:30:00	6	0.8112
1	358	2013-12-01/08:40:00	8	0.2444
1	358	2013-12-01/09:00:00	9	0.4056
1	358	2013-12-01/16:20:00	16	1.3925
1	359	2013-12-01/05:40:00	5	0.0364
1	359	2013-12-01/09:00:00	9	0.0618
1	359	2013-12-01/11:00:00	11	0.0364
1	359	2013-12-01/12:30:00	12	0.4320
1	359	2013-12-01/13:30:00	13	0.0364
1	359	2013-12-01/14:10:00	14	0.5305
1	371	2013-12-01/04:10:00	4	0.7617
1	373	2013-11-30/18:30:00	18	0.5598
1	373	2013-12-01/02:30:00	2	2.5043
1	373	2013-12-01/03:00:00	3	2.8784
1	373	2013-12-01/04:00:00	4	1.4443
1	373	2013-12-01/05:10:00	5	2.8496
1	373	2013-12-01/06:10:00	6	1.9642
1	373	2013-12-01/07:10:00	7	2.7130
1	373	2013-12-01/08:20:00	8	1.2505
1	373	2013-12-01/09:20:00	9	0.7050
1	373	2013-12-01/10:00:00	10	5.0639
1	373	2013-12-01/11:30:00	11	5.1744
1	373	2013-12-01/12:00:00	12	7.0117
1	373	2013-12-01/13:00:00	13	5.2459
1	373	2013-12-01/14:30:00	14	0.5628
1	373	2013-12-01/15:00:00	15	0.8960
1	375	2013-12-01/08:50:00	8	0.0216
1	377	2013-12-01/04:00:00	4	0.2255
1	377	2013-12-01/06:20:00	6	0.1715
1	377	2013-12-01/07:00:00	7	0.9825
1	377	2013-12-01/09:20:00	9	0.4913
1	377	2013-12-01/12:00:00	12	0.3427
1	377	2013-12-01/15:40:00	15	0.3427
1	380	2013-11-30/21:20:00	21	1.0209
1	380	2013-12-01/01:00:00	1	3.0035
1	380	2013-12-01/02:00:00	2	5.9815
1	380	2013-12-01/03:00:00	3	12.2575
1	380	2013-12-01/04:00:00	4	11.6187
1	380	2013-12-01/05:00:00	5	7.1282
1	380	2013-12-01/06:00:00	6	9.0905
1	380	2013-12-01/07:00:00	7	11.4982
1	380	2013-12-01/08:10:00	8	10.7338
1	380	2013-12-01/09:00:00	9	13.3320
1	380	2013-12-01/10:00:00	10	8.9000
1	380	2013-12-01/11:00:00	11	13.7103
1	380	2013-12-01/12:00:00	12	6.1708
1	380	2013-12-01/13:00:00	13	12.0144
1	380	2013-12-01/14:00:00	14	7.2707
1	380	2013-12-01/15:00:00	15	1.9786
1	381	2013-12-01/07:20:00	7	0.3475
1	381	2013-12-01/08:50:00	8	0.3475
1	381	2013-12-01/09:40:00	9	0.0214
1	381	2013-12-01/10:30:00	10	0.0032
1	381	2013-12-01/12:30:00	12	1.5360
1	381	2013-12-01/13:20:00	13	0.0540
1	381	2013-12-01/15:40:00	15	0.4682
1	381	2013-12-01/16:20:00	16	1.0425
1	385	2013-12-01/03:40:00	3	0.0500
1	385	2013-12-01/04:30:00	4	0.9997
1	385	2013-12-01/05:20:00	5	0.1818
1	385	2013-12-01/06:40:00	6	0.6770
1	385	2013-12-01/07:20:00	7	1.2734
1	385	2013-12-01/08:00:00	8	1.2405
1	385	2013-12-01/09:00:00	9	1.4243
1	385	2013-12-01/10:20:00	10	0.2611
1	385	2013-12-01/11:00:00	11	0.3041
1	385	2013-12-01/12:40:00	12	0.0086
1	385	2013-12-01/15:10:00	15	0.1529
1	385	2013-12-01/17:00:00	17	0.0881
1	386	2013-12-01/05:00:00	5	2.1070
1	386	2013-12-01/06:40:00	6	0.6794
1	386	2013-12-01/09:40:00	9	2.6178
1	386	2013-12-01/10:50:00	10	0.7583
1	386	2013-12-01/11:10:00	11	1.2873
1	386	2013-12-01/14:00:00	14	1.2368
1	386	2013-12-01/15:30:00	15	0.2975
1	386	2013-12-01/16:40:00	16	0.6138
1	387	2013-12-01/01:30:00	1	0.7050
1	387	2013-12-01/03:40:00	3	0.3593
1	387	2013-12-01/04:00:00	4	0.7680
1	387	2013-12-01/05:20:00	5	1.8191
1	387	2013-12-01/06:10:00	6	0.0881
1	387	2013-12-01/07:40:00	7	0.0714
1	387	2013-12-01/10:10:00	10	0.7911
1	387	2013-12-01/11:20:00	11	3.8061
1	387	2013-12-01/12:40:00	12	0.0714
1	389	2013-12-01/03:10:00	3	2.7797
1	389	2013-12-01/04:10:00	4	3.7902
1	389	2013-12-01/05:10:00	5	3.5712
1	389	2013-12-01/06:00:00	6	1.9281
1	389	2013-12-01/07:00:00	7	0.2702
1	389	2013-12-01/08:00:00	8	3.9714
1	389	2013-12-01/09:40:00	9	1.1276
1	389	2013-12-01/10:10:00	10	1.1227
1	389	2013-12-01/12:10:00	12	0.9784
1	389	2013-12-01/13:50:00	13	1.3942
1	389	2013-12-01/15:10:00	15	1.6662
1	389	2013-12-01/16:30:00	16	2.0966
1	420	2013-11-30/18:10:00	18	0.0471
1	420	2013-12-01/02:00:00	2	0.2250
1	420	2013-12-01/03:20:00	3	0.8782
1	420	2013-12-01/04:00:00	4	0.7377
1	420	2013-12-01/05:00:00	5	0.9208
1	420	2013-12-01/06:00:00	6	1.7427
1	420	2013-12-01/08:20:00	8	4.0874
1	420	2013-12-01/09:10:00	9	0.5552
1	420	2013-12-01/10:00:00	10	2.4780
1	420	2013-12-01/11:00:00	11	0.1303
1	420	2013-12-01/12:00:00	12	0.0824
1	420	2013-12-01/13:10:00	13	1.4106
1	420	2013-12-01/14:00:00	14	0.3392
1	420	2013-12-01/15:00:00	15	1.9782
1	421	2013-12-01/03:40:00	3	0.6575
1	421	2013-12-01/04:10:00	4	1.4226
1	421	2013-12-01/05:00:00	5	0.5039
1	421	2013-12-01/06:20:00	6	0.0454
1	421	2013-12-01/07:00:00	7	0.6752
1	421	2013-12-01/08:10:00	8	0.8247
1	421	2013-12-01/09:10:00	9	1.4985
1	421	2013-12-01/10:20:00	10	1.5578
1	421	2013-12-01/11:10:00	11	1.7010
1	421	2013-12-01/12:00:00	12	0.8190
1	421	2013-12-01/13:20:00	13	1.0161
1	421	2013-12-01/14:30:00	14	0.2694
1	423	2013-12-01/11:10:00	11	0.7198
1	507	2013-11-30/21:20:00	21	1.3165
1	591	2013-12-01/07:20:00	7	0.7390
1	591	2013-12-01/14:10:00	14	1.6731
1	591	2013-12-01/15:00:00	15	0.4092
1	593	2013-12-01/01:20:00	1	0.0458
1	593	2013-12-01/03:20:00	3	0.7977
1	593	2013-12-01/04:20:00	4	0.0593
1	593	2013-12-01/06:00:00	6	1.0187
1	593	2013-12-01/07:40:00	7	0.9927
1	593	2013-12-01/08:10:00	8	0.8274
1	593	2013-12-01/10:00:00	10	0.5014
1	593	2013-12-01/11:10:00	11	0.0889
1	593	2013-12-01/12:00:00	12	1.2478
1	593	2013-12-01/13:20:00	13	1.9584
1	593	2013-12-01/15:00:00	15	1.6003
1	880	2013-11-30/23:00:00	23	0.1303
1	880	2013-12-01/01:00:00	1	6.5511
1	880	2013-12-01/02:00:00	2	2.4302
1	880	2013-12-01/03:20:00	3	2.7241
1	880	2013-12-01/04:00:00	4	5.0315
1	880	2013-12-01/05:00:00	5	5.6193
1	880	2013-12-01/06:00:00	6	8.2079
1	880	2013-12-01/07:00:00	7	1.5569
1	880	2013-12-01/08:00:00	8	3.5235
1	880	2013-12-01/09:00:00	9	9.0436
1	880	2013-12-01/10:00:00	10	7.9113
1	880	2013-12-01/11:10:00	11	4.7019
1	880	2013-12-01/12:20:00	12	2.2225
1	880	2013-12-01/13:30:00	13	0.7544
1	880	2013-12-01/14:20:00	14	0.2255
